Date,Last_Price,Open,High,Low,Prev_Close,Amount_Money,Volume_Units,Num_Trades,Time,Volume_Calls,Volume_Put,IV_Call_Avg,IV_Put_Avg,Risk_Free_Rate,Days_To_Expiry,Years_To_Expiry,Simple_Return,Log_Return,Dividend,Adj_Price
2025-03-14,7380.0,7220.0,7410.0,7160.0,7070.0,13306601020.0,1817776.0,,0.70829861,3286662203.0,818696174.0,0.5329404558454242,0.5637523106166294,0.295,33.0,0.09041095890410959,0.04384724186704392,0.042913158703899806,0.0,7169.15083001218
2025-03-17,7320.0,7400.0,7450.0,7280.0,7380.0,13473204990.0,1826825.0,,0.708275462962963,2151109804.0,420302300.0,0.6,0.55,0.2612,30.0,0.0821917808219178,-0.008130081300813052,-0.008163310639160981,0.0,7110.86505090639
2025-03-18,7120.0,7070.0,7190.0,6960.0,7320.0,20115129110.0,2840545.0,,0.70832176,3345195565.0,1212350470.0,0.601517813546317,0.5537033081054688,0.325,29.0,0.07945205479452055,-0.02732240437158473,-0.027702602549335823,0.0,6916.579120553757
2025-03-19,7470.0,7220.0,7510.0,7200.0,7120.0,19089202460.0,2582617.0,,0.7083101851851852,3766218547.0,681728830.0,0.6049401419503349,0.552809579031808,0.29,28.0,0.07671232876712329,0.04915730337078661,0.047987273720841626,0.0,7256.579498670865
2025-03-20,7270.0,7330.0,7390.0,7230.0,7470.0,18773535310.0,2570791.0,,0.7083217592592592,2331621670.0,426219502.0,0.6029510498046875,0.5180263519287109,0.275,27.0,0.07397260273972603,-0.02677376171352075,-0.02713870759929794,0.0,7062.293568318232
2025-03-21,7540.0,7320.0,7560.0,7280.0,7270.0,15711434850.0,2116698.0,,0.708275462962963,3557962086.0,464944358.0,0.526106698172433,0.5568186442057291,0.335,26.0,0.07123287671232877,0.037138927097661645,0.03646589047443673,0.0,7324.579574294287
2025-03-25,7650.0,7590.0,7760.0,7560.0,7540.0,21007248340.0,2729336.0,,0.70827546,3255948449.0,396037433.0,0.5510766165597099,0.559844970703125,0.315,22.0,0.06027397260273973,0.01458885941644561,0.014483465818579752,0.0,7431.4368359882355
2025-03-26,7480.0,7650.0,7750.0,7420.0,7650.0,17417714670.0,2303858.0,,0.70829861,3397669912.0,956968157.0,0.5178778512137276,0.5328423636300224,0.315,21.0,0.057534246575342465,-0.022222222222222254,-0.02247285585205863,0.0,7266.293795188497
2025-03-27,7310.0,7750.0,7770.0,7240.0,7480.0,22788028720.0,3078910.0,,0.708275462962963,3000378628.0,1154037123.0,0.5538667951311383,0.46810150146484375,0.255,20.0,0.0547945205479452,-0.022727272727272707,-0.02298951822469872,0.0,7101.150754388758
2025-03-28,7310.0,7310.0,7340.0,7130.0,7310.0,14989555180.0,2073542.0,,0.7083101851851852,1880719228.0,839921463.0,0.53,0.51,0.303,19.0,0.052054794520547946,0.0,0.0,0.0,7101.150754388758
2025-03-31,7160.0,7020.0,7190.0,6990.0,7310.0,12681884510.0,1782369.0,,0.70828704,1554141839.0,625349224.0,0.5399377005440849,0.4939760480608259,0.28,16.0,0.043835616438356165,-0.020519835841313228,-0.020733292789132846,0.0,6955.436306624283
2025-04-01,7250.0,7180.0,7390.0,7140.0,7160.0,13674119060.0,1876008.0,,0.7082638888888889,1555381888.0,714113754.0,0.49053192138671875,0.5059541974748883,0.29,15.0,0.0410958904109589,0.012569832402234526,0.012491487894029053,0.0,7042.864975282969
2025-04-03,7070.0,6990.0,7160.0,6950.0,7250.0,12526598620.0,1766850.0,,0.70822917,1012351283.0,711074671.0,0.5654198782784599,0.46418871198381695,0.2601,13.0,0.03561643835616438,-0.024827586206896513,-0.02514098895810198,0.0,6868.007637965598
2025-04-04,6440.0,6710.0,6710.0,6250.0,7070.0,34850396260.0,5418871.0,,0.7083217592592592,1705246649.0,3828848906.0,0.6827011108398438,0.6074396769205729,0.26,12.0,0.03287671232876712,-0.08910891089108908,-0.09333193979221911,0.0,6256.006957354803
2025-04-07,6160.0,6140.0,6570.0,6100.0,6440.0,27653720780.0,4411020.0,,0.70825231,1353095504.0,3910493176.0,0.8405303955078125,0.6248601277669271,0.27,9.0,0.024657534246575342,-0.04347826086956519,-0.04445176257083381,0.0,5984.006654861116
2025-04-08,6240.0,6530.0,6580.0,6130.0,6160.0,47059703300.0,7363244.0,,0.70832176,1475732016.0,2450436536.0,0.6555557250976562,0.6324005126953125,0.2851,8.0,0.021917808219178082,0.01298701298701288,0.012903404835907782,0.0,6061.721027002169
2025-04-09,6980.0,6260.0,7100.0,5930.0,6240.0,36249652360.0,5565661.0,,0.74965278,3534882049.0,2748334567.0,0.9090478079659599,1.0035651070731026,0.3499,7.0,0.019178082191780823,0.11858974358974361,0.11206873439294483,0.0,6780.578969306914
2025-04-10,6670.0,6730.0,6830.0,6420.0,6980.0,24786296600.0,3712599.0,,0.708287037037037,2868385398.0,1049885130.0,0.8242543538411459,0.8597819010416666,0.381,6.0,0.01643835616438356,-0.044412607449856756,-0.04542905684674878,0.0,6479.435777260331
2025-04-11,7220.0,6900.0,7390.0,6880.0,6670.0,40862101900.0,5676465.0,,0.70832176,5149172633.0,1189422730.0,0.7192175728934151,0.8370917184012276,0.42,5.0,0.0136986301369863,0.08245877061469264,0.0792350929772025,0.0,7013.722085730074
2025-04-14,7720.0,7710.0,7900.0,7370.0,7220.0,42410429660.0,5582009.0,,0.70832176,5067535702.0,305641989.0,0.3355680193219866,0.8042853219168526,0.4,2.0,0.005479452054794521,0.06925207756232687,0.06695941113194995,0.0,7499.436911611658
2025-04-15,7410.0,7750.0,7790.0,7360.0,7720.0,27981440220.0,3745526.0,,0.70832176,1732078643.0,101832302.0,0.18598828996930802,0.5484390258789062,0.353,1.0,0.0027397260273972603,-0.040155440414507804,-0.040983924728689315,0.0,7198.293719565076
2025-04-16,7070.0,7450.0,7500.0,7010.0,7410.0,21661950960.0,3002787.0,,0.70831019,2442050365.0,1053544213.0,0.4511969430106027,0.5756105695452008,0.38,64.0,0.17534246575342466,-0.045883940620782715,-0.04696995939951412,0.0,6868.007637965598
2025-04-21,6840.0,7000.0,7050.0,6690.0,7070.0,14237546170.0,2097848.0,,0.70832176,1896421251.0,848422992.0,0.5154800415039062,0.5423573085239956,0.33,59.0,0.16164383561643836,-0.032531824611032545,-0.03307274827402231,0.0,6644.578818060069
2025-04-22,7280.0,6880.0,7350.0,6880.0,6840.0,20116577530.0,2786482.0,,0.7083101851851852,3951043126.0,906603660.0,0.46009063720703125,0.5636119842529297,0.343,58.0,0.1589041095890411,0.06432748538011701,0.062343130574135555,0.0,7072.007864835864
