Date,Ticker,Strike,Type,Last_Price,Amount_Money,Open,High,Low,Prev_Close,Volume_Units,Implied_Volatility,VE_Pct,Parity,Return,Original_Strike
2021-05-20,GFGC210.JU,210.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,70.65,0.0,211.013597
2021-05-20,GFGC220.JU,220.0,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,80.65,0.0,221.013597
2021-05-20,GFGC82983J,82.983,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,56.36699999999999,0.0,83.99659700000001
2021-05-20,GFGC85983J,85.983,Call,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,53.36699999999999,0.0,86.99659700000001
2021-05-20,GFGC88983J,88.983,Call,48.215,80526.0,49.3,50.999,48.215,44.41,16.0,3.814697265625e-05,-0.015443128812342928,50.36699999999999,0.08567890114839005,89.99659700000001
2021-05-20,GFGC94983J,94.983,Call,0.0,0.0,0.0,0.0,0.0,29.5,0.0,,,44.36699999999999,0.0,95.99659700000001
2021-05-20,GFGC97983J,97.983,Call,0.0,0.0,0.0,0.0,0.0,26.5,0.0,,,41.36699999999999,0.0,98.99659700000001
2021-05-20,GFGV10098J,100.98,Put,0.272,40396.0,0.22,0.35,0.2,0.335,1443.0,0.6654739379882812,0.0019519196268388951,38.36999999999999,-0.18805970149253726,101.99359700000001
2021-05-20,GFGV10398J,103.98,Put,0.34,71501.0,0.495,0.495,0.25,0.395,2359.0,0.6428146362304688,0.002439899533548619,35.36999999999999,-0.1392405063291139,104.99359700000001
2021-05-20,GFGV10698J,106.98,Put,0.357,68523.0,0.338,0.5,0.281,0.435,1740.0,0.5997848510742188,0.0025618945102260497,32.36999999999999,-0.17931034482758623,107.99359700000001
2021-05-20,GFGV10998J,109.98,Put,0.416,144048.0,0.59,0.59,0.38,0.539,3104.0,0.5688858032226562,0.0029852888410477215,29.36999999999999,-0.228200371057514,110.99359700000001
2021-05-20,GFGV11298J,112.98,Put,0.517,109918.0,0.61,0.8,0.45,0.6,2085.0,0.5454635620117188,0.003710082526013635,26.36999999999999,-0.1383333333333333,113.99359700000001
2021-05-20,GFGV11598J,115.98,Put,0.676,172178.0,0.501,0.75,0.501,0.771,2698.0,0.5285263061523438,0.004851094366702548,23.36999999999999,-0.12321660181582361,116.99359700000001
2021-05-20,GFGV11898J,118.98,Put,0.863,559824.0,1.068,1.068,0.711,1.029,6879.0,0.5091476440429688,0.006193039110154288,20.36999999999999,-0.16132167152575305,119.99359700000001
2021-05-20,GFGV12198J,121.98,Put,1.057,463013.0,1.2,1.35,0.901,1.364,4310.0,0.48412322998046875,0.007585217079296735,17.36999999999999,-0.22507331378299134,122.99359700000001
