time,open,high,low,close,Volume
2022-09-07T19:30:00Z,253.174272,253.9654416,250.6029708,252.18531,211613.79304766
2022-09-08T14:00:00Z,254.163234,257.624601,251.196348,251.7897252,69902.58473025
2022-09-08T14:30:00Z,251.7897252,251.7897252,244.9164393,247.2405,117184.4823158
2022-09-08T15:00:00Z,248.0811177,250.0095936,247.2405,247.2405,124723.70020284
2022-09-08T15:30:00Z,247.2405,247.734981,245.757057,247.734981,146892.39829235
2022-09-08T16:00:00Z,247.3393962,247.3393962,242.6418267,243.5813406,153751.10469361
2022-09-08T16:30:00Z,243.5813406,248.4272544,243.4824444,248.229462,72988.6487044
2022-09-08T17:00:00Z,248.229462,249.1195278,246.4987785,246.4987785,68425.278221
2022-09-08T17:30:00Z,247.1910519,248.229462,245.3614722,248.229462,47379.98022169
2022-09-08T18:00:00Z,248.229462,248.7733911,246.8449152,248.229462,55059.74951515
2022-09-08T18:30:00Z,248.1800139,248.4272544,246.251538,247.2405,21736.93225827
2022-09-08T19:00:00Z,246.746019,248.229462,246.3009861,247.7844291,90241.08105266
2022-09-08T19:30:00Z,248.229462,250.4546265,247.8338772,250.207386,153695.49082776
2022-09-09T14:00:00Z,251.196348,253.2731682,250.207386,251.7897252,41953.0780758
2022-09-09T14:30:00Z,251.2952442,251.5424847,250.3062822,250.3062822,64503.99509789
2022-09-09T15:00:00Z,250.4051784,250.4051784,248.6250468,249.218424,92256.32531887
2022-09-09T15:30:00Z,249.1195278,249.6140088,248.4272544,249.0700797,112851.65658539
2022-09-09T16:00:00Z,249.0700797,249.1195278,246.8943633,248.723943,237400.4259011
2022-09-09T16:30:00Z,248.723943,249.218424,248.2789101,249.0206316,76229.42034173
2022-09-09T17:00:00Z,248.8722873,251.196348,248.1305658,251.196348,159929.29960909
2022-09-09T17:30:00Z,251.690829,254.0148897,250.3557303,253.6193049,206761.23046184
2022-09-09T18:00:00Z,253.6193049,255.152196,253.2237201,254.8555074,154714.74131463
2022-09-09T18:30:00Z,254.8555074,259.108044,254.6082669,259.108044,587933.61120043
2022-09-09T19:00:00Z,258.119082,261.085968,257.4762567,259.8497655,123057.3065497
2022-09-09T19:30:00Z,259.8497655,262.569411,259.7014212,261.580449,179910.85602885
2022-09-12T14:00:00Z,262.1738262,266.3769147,259.1574921,261.580449,122975.40249271
2022-09-12T14:30:00Z,261.8276895,263.063892,259.108044,259.4047326,108598.71258956
2022-09-12T15:00:00Z,259.3552845,260.9870718,256.4872947,257.624601,136654.39116973
2022-09-12T15:30:00Z,257.624601,258.5641149,257.0312238,257.7234972,100037.21073206
2022-09-12T16:00:00Z,257.8718415,257.9212896,256.7345352,257.13012,78448.9191698
2022-09-12T16:30:00Z,257.2290162,258.0201858,257.13012,257.3773605,46915.85723213
2022-09-12T17:00:00Z,257.2784643,257.8718415,256.7345352,257.0312238,114121.67504919
2022-09-12T17:30:00Z,257.0312238,258.119082,256.141158,257.9212896,106328.65570163
2022-09-12T18:00:00Z,257.9212896,258.4157706,257.624601,257.8718415,52324.55847646
2022-09-12T18:30:00Z,257.9212896,258.8113554,257.8718415,258.8113554,54452.04163557
2022-09-12T19:00:00Z,258.8113554,261.085968,258.8113554,259.602525,91836.69342199
2022-09-12T19:30:00Z,259.602525,259.602525,256.0422618,256.9323276,189035.57467324
2022-09-13T14:00:00Z,257.13012,260.0475579,256.9323276,259.108044,196336.15851772
2022-09-13T14:30:00Z,259.4047326,259.602525,255.9928137,257.13012,104265.88685915
2022-09-13T15:00:00Z,258.0201858,258.0201858,248.1305658,253.668753,110577.55505267
2022-09-13T15:30:00Z,253.668753,255.4488846,253.174272,253.4215125,70830.83070937
2022-09-13T16:00:00Z,254.163234,254.163234,252.679791,253.174272,59796.02856328
2022-09-13T16:30:00Z,253.3720644,253.3720644,251.690829,252.18531,15869.16383036
2022-09-13T17:00:00Z,252.18531,253.174272,251.7897252,253.174272,48886.61040566
2022-09-13T17:30:00Z,253.174272,254.8060593,253.0259277,254.4104745,41227.06433614
2022-09-13T18:00:00Z,253.668753,255.3994365,252.2842062,252.3336543,34451.27315306
2022-09-13T18:30:00Z,253.0753758,254.1137859,251.7897252,253.8665454,22049.38106823
2022-09-13T19:00:00Z,253.668753,253.668753,250.5040746,250.5535227,24960.51415525
2022-09-13T19:30:00Z,250.8007632,251.196348,247.2405,248.229462,93041.99756917
2022-09-14T14:00:00Z,248.7733911,253.1248239,248.7733911,249.6140088,88587.83249508
2022-09-14T14:30:00Z,249.6140088,252.679791,249.6140088,252.679791,113517.00065321
2022-09-14T15:00:00Z,252.679791,254.0148897,252.2842062,253.174272,182156.64504804
2022-09-14T15:30:00Z,252.9764796,253.3226163,252.7786872,253.1248239,79385.25443849
2022-09-14T16:00:00Z,253.0753758,254.0643378,252.5808948,253.2237201,58798.01246155
2022-09-14T16:30:00Z,253.2237201,253.8170973,252.5808948,253.8170973,21628.73801016
2022-09-14T17:00:00Z,253.4709606,254.9544036,253.4709606,254.9544036,45402.14891978
2022-09-14T17:30:00Z,254.9544036,254.9544036,253.2237201,253.2731682,22781.46177507
2022-09-14T18:00:00Z,253.5698568,253.8665454,252.18531,253.668753,80030.37528237
2022-09-14T18:30:00Z,253.5698568,254.1137859,253.174272,253.5204087,37283.53566669
2022-09-14T19:00:00Z,253.5204087,254.0148897,252.679791,253.4709606,86542.25339295
2022-09-14T19:30:00Z,253.4709606,255.1027479,252.4819986,254.9544036,108189.19230466
2022-09-15T14:00:00Z,254.2621302,259.5036288,254.2621302,254.9049555,127560.00736125
2022-09-15T14:30:00Z,254.4104745,255.0038517,253.174272,253.174272,105172.89845313
2022-09-15T15:00:00Z,253.174272,256.7345352,253.0259277,255.9433656,84492.62964603
2022-09-15T15:30:00Z,255.9433656,257.13012,255.0532998,255.152196,40192.64643131
